Airliner,Shape Label,Col,Estimated Capacity
Airbus A320ceo,person,1,200
Airbus A320ceo,person,2,200
Boeing 737 MAX 8,person,1,200
Boeing 737 MAX 8,person,2,200
Boeing 777X,person,1,400
Boeing 777X,person,2,400
Boeing 777X,person,3,400
Boeing 777X,person,4,400
Boeing 787 Dreamliner,person,1,400
Boeing 787 Dreamliner,person,2,400
Boeing 787 Dreamliner,person,3,400
Boeing 787 Dreamliner,person,4,400
Airbus A330-900neo,person,1,400
Airbus A330-900neo,person,2,400
Airbus A330-900neo,person,3,400
Airbus A330-900neo,person,4,400
Airbus A380-800,person,1,600
Airbus A380-800,person,2,600
Airbus A380-800,person,3,600
Airbus A380-800,person,4,600
Airbus A380-800,person,5,600
Airbus A380-800,person,6,600
Airbus A380-800,personWhiteSpace,7,500
Airbus A380-800,personWhiteSpace,8,500
